playlist_uri,playlist_name
spotify:playlist:0CGyI9Q3UibNVDI3YOchzA,2022 Top Hits
spotify:playlist:0Ch8LdZiJuSqUvRsASqrjS,Pop Español 2022 
spotify:playlist:0chdKQr18NN9WRI355V8BN,USA Hits 2022
spotify:playlist:0CHlucloOxEbBSWRjf1tXW,this is madness
spotify:playlist:0CjBA7o6F5mpvnvBYFuXH0,KPOP Classics | KPOP Top Hits
spotify:playlist:0cJdxrhdrNfwIn3R4Qmbas,Analis Cruz Workout
spotify:playlist:0CjNWhaGZXR391VLaQlyzu,this is my city pop mixtape
spotify:playlist:0ckI4JCDRIm7hR4CaPn5Xk,CLEAN MUSIC FOR WORK ?
spotify:playlist:0cKlNGu42IgNKCOZXGaCmh,CHRISTMAS WORKOUT
spotify:playlist:0CMN4KfBhEjXpTeKMOQxMR,Top Hits of Early 2000s
spotify:playlist:0cQR3iINt6z5WQJs6cw7q7,Shuffle House ??
spotify:playlist:0cs0ykcw4HcmS9tyMPC99C,Philippines Top 50 - Top 50 Philippines - Pilipinas Top 50 - Philippines Top Hits
spotify:playlist:0CTbfC05BToZb7vKJTouxs,EDM | Cyberpunk/Dark Techno
spotify:playlist:0CtGM4pP7gfSbMMZDskgvO,Hip Hop Workout ??
spotify:playlist:0cuTt70AReKIQy6hnpC6cN,Power Workout 2022??Best Hip Hop & Rap Gym Workout Music Mix??Gym Motivation | Top Workout Songs
spotify:playlist:0cuWnOvmNVW36700ul4AZf,LINKIN PARK WORKOUT
spotify:playlist:0cvVad4XizGbOS0vlwZYS5,EDM - pop remixes
spotify:playlist:0CWbjfbBhxmljK0ZSHb1OT,Top 100 EDM
spotify:playlist:0CwtBk2I7V0XIHhxC1OJYi,Bad Bunny Workout??
spotify:playlist:0cWuGWP4OSFAMaOmAoOLTI,Heart broken rap / hip hop
spotify:playlist:0cWVJ8KhKOR5vOT8HZvTo1,so this is x-mas<3 
spotify:playlist:0CXbjXvbC6mf32cPwJA4W6,kpop hype/workout mix
spotify:playlist:0cyuKLgVMBeqTeA3488Vzj,Workout Screamo
spotify:playlist:0czpZRvEADFKRKR3AaCs45,Gospel Hip Hop
spotify:playlist:0D0jw5rVUjb58AcnSOLUSb,Today's Top Hits 
spotify:playlist:0D38DlrPSpSIja2CYiyUDB,Minimal House 2022
spotify:playlist:0d3gNYAf6mhvAST7HTyJ2I,Throwback country hits!!
spotify:playlist:0D3RI1PBdWhFchyleFpsER,This shit is lit af
spotify:playlist:0DaDoKSvniWccUhIFOnRF4,PHONK HOUSE 2022
spotify:playlist:0dBw0GFwEBcXYfP2QbROmT,Lofi Pop Punk
spotify:playlist:0DckWV5CGJZtzksHtUbWP8,This is Slimane
spotify:playlist:0dCnhQXoegzbusbGErPxGF,80s Top 40 Hits
spotify:playlist:0dDqkRij3WJckL8kvor0Rz,Top Indie 2022
spotify:playlist:0ddw4Nawi88vYS0nfaskbL,AC/DC - Greatest Hits: Top 25
spotify:playlist:0DEfwClrei4q5fKBLKjUbk,Country Oldies 90s 
spotify:playlist:0dFFU8BaWuKrCQnrnRtjVV,Old School Deep House
spotify:playlist:0dgjSSRCdXKmOvEvYegJiV,phonk house
spotify:playlist:0di4SOghem4bqf7KemD1KW,RUNNING MOTIVATION ??????? HITT WORKOUT 
spotify:playlist:0DIDrOFuMhc0NQZuqCoy32,this is: me
spotify:playlist:0DJ1MAN0lTZhYSaXHJ8ksX,Weihnachts-Hits 2022 | Weihnachten 2022 | Weihnachtslieder | Top 100 Christmas
spotify:playlist:0dj9LEsOiINuxQzCmWMQAx,Sambalpuri Top Hits ( Both Old & New Songs)
spotify:playlist:0DM9jVQQruSIhdC2wKyRuZ,EDM BANGERS 
spotify:playlist:0dN3jr4oFrHNmtc7EkUx9N,Top 50 Punk Rock Hits
spotify:playlist:0dn5dDgdU1ZAjxgm1ZBAsO,$uicide boy$ + xxx + lil peep.
spotify:playlist:0dNAOnQqcQSv5CBwXSO12O,Classic hip-hop clean
spotify:playlist:0dPrK8V7raHv2zLICS7pju,EDM FEELS ??
spotify:playlist:0DQQdjXCAG0f5U5uWO6WHr,FEMALE RAP WORKOUT??
spotify:playlist:0DTUqicA1WlYQM0jejRB6a,Hip Hop Independent
spotify:playlist:0DUH1fhmNzfKLN32bSwKUh,This is Foi
spotify:playlist:0dUnBGMg0HY5H8nhIP5UjV,Telugu Item Songs | Top 100 Hits
spotify:playlist:0duOqtF6bGB3c7UURrrnMA,
spotify:playlist:0DUzHxns1h7L0mUF2yvcr6,This is MC Disability
spotify:playlist:0DVRQyKLCvvqRqgW7nkhIU,EDM Metalcore
spotify:playlist:0dxDydskHg0vYcKiM00T8D,This Is: Maynard
spotify:playlist:0DyRIXtppyv8erxNA7FRPr,2000s Workout Hits
spotify:playlist:0DYScLmlsjAGkPJR0IZzrz,???EDM
spotify:playlist:0DyVdslhY2FTzupOetr77S,Rap Mexicano 2022 ???????? Rap en español 2022 Éxitos ???? Hip Hop Mexicano ???? Rap mexicano 2023
spotify:playlist:0dZ6X4lEBOHBgQwRtg1cwP,New Country 2022
spotify:playlist:0dzCa0BXBZgvfCCT0pftl4,is this love or is it just after 9pm
spotify:playlist:0DZfWCmXdtnrhZtuYzz363,Hip-Hop LoFi Chill Beats
spotify:playlist:0DzMAyXGxJwtaLXQ0fIhyt,“ Now This Is Me “
spotify:playlist:0E3e1V5gjNq2R62hFqfOqu,HIIT POP/REMIXES
spotify:playlist:0e7ZClzZLXcgtRvhdmfIID,DEEP HOUSE  2023 - Vocal deep house slap cover summer
spotify:playlist:0E9i1OQbTOXUqQvJqOzDz1,CrossFit Kids Workout Songs
spotify:playlist:0EasgriCncTZK3Td9GEoxe,WARMUP SONGS (CLEAN)
spotify:playlist:0eBsvI0Bzr191K15IHS8PN,?My workout playlist?
spotify:playlist:0EdCnSAu1lxnU8AhGFu6wo,This is Zezé de Camargo e Luciano
spotify:playlist:0edKAmxj9OQDKXLIYMykKB,Marines Workout Mix
spotify:playlist:0EEHVjevRRRC9ViaAnJuW7,Alt Pop
spotify:playlist:0EePNxGWFhrpWQd7jkvP5B,Upbeat Office Playlist - Clean New & Old
spotify:playlist:0eGBLt9vFkefYCF543CxaY,Fast paced gym workout
spotify:playlist:0Eh8F4Mn7YXejhpwtu8pak,Crossrope Hip-Hop
spotify:playlist:0Ei2kbM9HHAdlGPu2w5Jls,THE AGGRESSIVE WORKOUT MIX 
spotify:playlist:0eJJfGSHZpmmIarkOzDySZ,Sad Today's Top Hits
spotify:playlist:0EJX1BDUM0VPzXFcMmsWKB,2000's Country
spotify:playlist:0EkaJXOfyemFBYscvRlRpp,Country Swing Dance
spotify:playlist:0ekUBqyN6aMDI90qsn96Gz,Deep House Ibiza - Sunset Mix 2022
spotify:playlist:0ENf9NsFGPCAUFNJWsmi5H,crack isn’t legal and neither is this playlist
spotify:playlist:0eNJv3B4HRf2G6k8ylaYhv,pov: you’re william afton’s partner in crime??????
spotify:playlist:0eNKJmHbUXXTKBc3NIrOrn,Country Christmas
spotify:playlist:0Eo9YWPScI4iHLDur6vPNT,"90s hip hop ""Love Songs""????"
spotify:playlist:0eOEIA4unarE09TSFdn8uz,Animal House soundtrack
spotify:playlist:0EoGgijqgOtKj7vCnOBTEm,Indie pop
spotify:playlist:0ePN635FlWMcWoDAABjyV8,Best EDM DROPS OF ALL TIME
spotify:playlist:0ePPW2ZeGo30MjFG6itcPG,Clean TikTok Hits 2022??
spotify:playlist:0ERFxLwObujrohQNTkulaX,EDM/Remixes
spotify:playlist:0erLbMzXD0U9xJUPlOeKrX,CAFÉ DEL MAR / Lounge & Chill House 2022
spotify:playlist:0eTbMD3zR0Bd44nWsOsHkq,Kanye(Clean)
spotify:playlist:0ETy0nxruN6xvaoRol2toG,Polo G Clean (ALL SONGS)
spotify:playlist:0eu2FcqAY7hiioU8QZ0D0X,2010s Rap (Clean)
spotify:playlist:0eurGAz2RXqZyDe0ENVz1s,This Is • MARRACASH x Red Valley Festival 2022
spotify:playlist:0EvD0GWxRFl6btcqr63mOm,Saxophone EDM 2022
spotify:playlist:0evO3baKNG9RTzMwtHmHp0,POP en Ingles 2022 HITS
spotify:playlist:0EX2Eo7djOmeLjTANcnu50,This is Zzala
spotify:playlist:0EYrVFmRiBusRMYeCneoBJ,Disco Pop 2022
spotify:playlist:0EzWxSCIXoHrrs9mYe3U15,MIKE LEONELLI - TOP HITS
spotify:playlist:0F5AsJVnjr4uWwWqaQlg5c,Piano House 2022
spotify:playlist:0f8jM8AKYNwqqSnmpeQuQC,This is XAND
spotify:playlist:0F9aoi8CEztg8Xi8TFBXLD,early 2000s rap Clean
spotify:playlist:0f9sVkoR8ae1Wcv1GYLWfN,ALBANIAN HITS - 2022
spotify:playlist:0faexpad5dxnAPnnnNIFT5,Taylor Swift's Most Popular
spotify:playlist:0FAq4gIZnA4IMhRiqRBoYQ,80s 1st Wave - This is New Wave - The first wave
spotify:playlist:0FCYe2jFrCcnVBs1yU6Efj,WORKOUT RAP | GYM RAP ??
spotify:playlist:0FdO56PRya2BUsXuxV37FD, Hip hop Dance musik??
spotify:playlist:0FDs1vj5kWGhxEFI3BCuVX,Relaxed Country ??
spotify:playlist:0FDZz2sLMnxTkRMfu2WvIp,underground hip hop / dark rap
